epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88979,2.34945,3.96185,1.62409,0.00487,0.08019,0.00693,0.0039,1.83672,4.26962,1.40755,9e-05,9e-05,9e-05
2,3.19207,2.32067,4.19242,1.83834,0.00487,0.08019,0.00693,0.0039,1.83672,4.26962,1.40755,0.000188119,0.000188119,0.000188119
3,4.52715,2.14856,3.88757,1.72712,0.00493,0.08044,0.00714,0.00344,1.79735,4.18824,1.31307,0.000284258,0.000284258,0.000284258
4,5.82187,2.58084,4.24277,1.85722,0.00493,0.08044,0.00714,0.00344,1.79735,4.18824,1.31307,0.000378417,0.000378417,0.000378417
5,7.04573,2.49189,4.1257,1.64147,0.00493,0.08044,0.00714,0.00344,1.79735,4.18824,1.31307,0.000470596,0.000470596,0.000470596
6,8.39232,2.30083,4.21205,1.71828,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000560795,0.000560795,0.000560795
7,9.63805,2.11,3.80281,1.54709,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000649014,0.000649014,0.000649014
8,11.1008,2.45643,4.10213,1.68597,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000735253,0.000735253,0.000735253
9,12.7531,2.39335,4.16579,1.70648,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000819512,0.000819512,0.000819512
10,14.5565,2.32884,4.00469,1.65559,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000901791,0.000901791,0.000901791
11,15.845,1.99624,3.70914,1.69684,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.000901,0.000901,0.000901
12,17.2735,2.15804,4.11264,1.86723,0.0076,0.10151,0.00698,0.00203,1.858,4.08744,1.34191,0.0008911,0.0008911,0.0008911
13,18.6965,2.38791,3.96424,1.85791,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008812,0.0008812,0.0008812
14,19.9441,2.09711,3.52453,1.39415,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008713,0.0008713,0.0008713
15,21.2612,2.12065,3.88056,1.68983,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008614,0.0008614,0.0008614
16,22.5769,2.48506,3.80711,1.5445,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008515,0.0008515,0.0008515
17,23.8568,2.18175,3.75577,1.59061,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008416,0.0008416,0.0008416
18,25.0859,2.04647,3.84214,1.56623,0.02947,0.2968,0.04096,0.01515,2.0241,3.61277,1.46669,0.0008317,0.0008317,0.0008317
19,26.3939,2.11995,3.45849,1.39503,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0008218,0.0008218,0.0008218
20,28.1554,1.93875,3.67765,1.66155,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0008119,0.0008119,0.0008119
21,29.522,1.8735,3.36027,1.43348,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.000802,0.000802,0.000802
22,30.8444,2.04107,3.66782,1.60209,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0007921,0.0007921,0.0007921
23,32.1221,2.08115,3.69867,1.81893,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0007822,0.0007822,0.0007822
24,33.3478,2.15273,3.78616,1.60547,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0007723,0.0007723,0.0007723
25,34.7236,2.13169,3.65527,1.58785,0.51691,0.10093,0.0867,0.03233,2.17718,2.88567,1.57646,0.0007624,0.0007624,0.0007624
26,36.4077,2.00488,3.6076,1.80033,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.0007525,0.0007525,0.0007525
27,37.8692,1.97693,3.37216,1.58033,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.0007426,0.0007426,0.0007426
28,39.1084,2.33135,3.52762,1.63542,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.0007327,0.0007327,0.0007327
29,40.3571,2.06068,3.52297,1.6109,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.0007228,0.0007228,0.0007228
30,41.6245,2.08009,3.49331,1.67761,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.0007129,0.0007129,0.0007129
31,43.0016,2.21958,3.35703,1.52885,0.48613,0.1246,0.0944,0.0374,2.28293,2.69265,1.65274,0.000703,0.000703,0.000703
32,44.6315,1.87931,3.36661,1.5561,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006931,0.0006931,0.0006931
33,45.9984,2.02306,3.40105,1.64458,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006832,0.0006832,0.0006832
34,47.3504,1.75785,3.26035,1.4072,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006733,0.0006733,0.0006733
35,48.7691,2.29832,3.4138,1.59356,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006634,0.0006634,0.0006634
36,50.1682,2.10088,3.47063,1.48295,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006535,0.0006535,0.0006535
37,51.8813,1.9648,3.34934,1.51416,0.5445,0.17526,0.14847,0.05501,2.40419,2.49773,1.6923,0.0006436,0.0006436,0.0006436
38,53.4166,1.78163,3.32061,1.49832,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0006337,0.0006337,0.0006337
39,55.9415,2.12269,3.49567,1.44727,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0006238,0.0006238,0.0006238
40,58.3651,2.04534,3.09032,1.41392,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0006139,0.0006139,0.0006139
41,60.3267,1.99079,3.18485,1.48612,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.000604,0.000604,0.000604
42,63.1247,2.01216,3.12333,1.33661,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0005941,0.0005941,0.0005941
43,65.0825,2.32392,3.3796,1.59165,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0005842,0.0005842,0.0005842
44,66.9381,1.99813,3.37215,1.66515,0.58365,0.19788,0.16968,0.06391,2.39622,2.50897,1.69146,0.0005743,0.0005743,0.0005743
45,68.7172,2.20185,3.37425,1.69928,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005644,0.0005644,0.0005644
46,70.2531,1.80155,3.18106,1.67642,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005545,0.0005545,0.0005545
47,72.1511,2.13402,3.61743,1.55494,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005446,0.0005446,0.0005446
48,73.7266,1.81618,3.07116,1.46778,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005347,0.0005347,0.0005347
49,75.3222,2.03718,3.02408,1.4765,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005248,0.0005248,0.0005248
50,76.8152,1.90144,3.03257,1.51926,0.6177,0.22696,0.19912,0.07473,2.25591,2.52362,1.65072,0.0005149,0.0005149,0.0005149
51,78.4407,2.03313,3.26269,1.57283,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.000505,0.000505,0.000505
52,80.2954,2.22651,3.23229,1.41364,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004951,0.0004951,0.0004951
53,82.0597,1.72267,3.06737,1.35705,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004852,0.0004852,0.0004852
54,83.4943,2.00563,3.03388,1.60285,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004753,0.0004753,0.0004753
55,84.9573,1.75679,3.20964,1.48771,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004654,0.0004654,0.0004654
56,86.6795,2.28718,3.01035,1.48913,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004555,0.0004555,0.0004555
57,88.2805,2.15631,3.25836,1.66283,0.41461,0.23893,0.19771,0.08134,2.18902,2.52493,1.61389,0.0004456,0.0004456,0.0004456
58,89.9269,1.85561,2.97873,1.56869,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.0004357,0.0004357,0.0004357
59,91.8544,1.90587,2.9039,1.51073,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.0004258,0.0004258,0.0004258
60,93.4167,1.93904,3.12107,1.55133,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.0004159,0.0004159,0.0004159
61,94.9282,1.75399,3.07773,1.52687,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.000406,0.000406,0.000406
62,96.6281,1.8615,2.99038,1.57471,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.0003961,0.0003961,0.0003961
63,97.9092,2.13789,3.09837,1.50599,0.42566,0.25725,0.21679,0.08657,2.17598,2.49616,1.60766,0.0003862,0.0003862,0.0003862
64,99.2966,1.94374,3.02724,1.37831,0.44612,0.25166,0.23382,0.09416,2.19433,2.50677,1.62206,0.0003763,0.0003763,0.0003763
65,101.366,1.98623,2.96236,1.51836,0.44612,0.25166,0.23382,0.09416,2.19433,2.50677,1.62206,0.0003664,0.0003664,0.0003664
