epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0235,1.70798,3.65838,1.07474,0.0002,0.01394,0.00012,2e-05,2.24125,5.64805,1.29088,0.00032906,0.00032906,0.00032906
2,31.7392,1.80044,3.85062,1.17831,0.00044,0.04021,0.00032,0.00016,2.03154,5.12961,1.23675,0.000659114,0.000659114,0.000659114
3,50.7336,1.88747,3.65104,1.19221,0.00094,0.10814,0.01508,0.00745,2.1039,4.98218,1.26835,0.000985869,0.000985869,0.000985869
4,65.9994,1.63478,3.40845,1.04197,0.82187,0.00755,0.01442,0.00652,2.0617,4.69968,1.25717,0.00098515,0.00098515,0.00098515
5,78.8082,1.69868,3.40802,1.02195,0.92871,0.05283,0.06426,0.02225,2.17185,4.2917,1.31153,0.0009802,0.0009802,0.0009802
6,90.209,1.7167,3.33583,1.06503,0.90653,0.05283,0.06572,0.01835,2.20126,4.03556,1.3402,0.00097525,0.00097525,0.00097525
7,100.007,1.50962,3.2689,0.95748,0.96911,0.0208,0.10007,0.02739,2.26972,3.81463,1.36511,0.0009703,0.0009703,0.0009703
8,109.894,1.57538,3.01707,0.96235,0.94987,0.07898,0.10804,0.03137,2.31824,3.43769,1.38273,0.00096535,0.00096535,0.00096535
9,119.923,1.63451,3.04396,0.99017,0.9559,0.09434,0.12903,0.0411,2.28426,3.40806,1.37065,0.0009604,0.0009604,0.0009604
10,133.812,1.60333,2.9609,0.97712,0.93405,0.08302,0.10433,0.027,2.54806,3.2573,1.48228,0.00095545,0.00095545,0.00095545
11,144.293,1.60959,2.91187,1.03906,0.97844,0.06252,0.12208,0.0325,2.48061,3.67621,1.46575,0.0009505,0.0009505,0.0009505
12,153.815,1.75041,2.91922,1.12053,0.93857,0.07665,0.09689,0.02535,2.69346,3.45138,1.57241,0.00094555,0.00094555,0.00094555
13,162.987,1.56792,2.59934,0.99179,0.95375,0.12546,0.12873,0.03249,2.65972,2.94672,1.56918,0.0009406,0.0009406,0.0009406
14,172.755,1.63288,2.5822,1.12304,0.96788,0.13809,0.14616,0.03744,2.64153,3.10512,1.58798,0.00093565,0.00093565,0.00093565
15,182.004,1.59926,2.52172,1.05985,0.98591,0.14934,0.16032,0.05127,2.45707,2.91412,1.50585,0.0009307,0.0009307,0.0009307
16,191.707,1.70837,2.54294,0.96687,0.98348,0.15849,0.16528,0.05986,2.3581,2.76803,1.45088,0.00092575,0.00092575,0.00092575
17,201.936,1.57568,2.57902,1.03033,0.97808,0.15334,0.16881,0.05949,2.32819,2.78955,1.42558,0.0009208,0.0009208,0.0009208
18,211.632,1.60693,2.41547,0.98184,0.94441,0.13962,0.1537,0.06127,2.17706,2.82568,1.36401,0.00091585,0.00091585,0.00091585
19,221.297,1.37124,2.28765,0.87342,0.93984,0.14035,0.14884,0.05276,2.2655,2.64361,1.37876,0.0009109,0.0009109,0.0009109
20,232.481,1.64504,2.36219,1.01579,0.96243,0.1434,0.15643,0.04839,2.36746,2.75205,1.41862,0.00090595,0.00090595,0.00090595
21,241.813,1.32469,2.32371,0.80778,0.97383,0.15038,0.16066,0.04327,2.3817,2.62659,1.42487,0.000901,0.000901,0.000901
22,251.67,1.64879,2.32955,1.04232,0.96275,0.1484,0.16557,0.0515,2.31595,2.49033,1.392,0.00089605,0.00089605,0.00089605
23,264.589,1.68546,2.26949,0.98956,0.95622,0.16158,0.14733,0.04931,2.30334,2.94934,1.39648,0.0008911,0.0008911,0.0008911
24,277.204,1.31889,2.08433,0.84868,0.93541,0.1283,0.10909,0.03666,2.37574,2.5297,1.42529,0.00088615,0.00088615,0.00088615
25,287.506,1.49847,2.19568,0.88848,0.93708,0.13208,0.12066,0.03766,2.21658,2.38953,1.35864,0.0008812,0.0008812,0.0008812
26,298.766,1.43637,2.12873,0.9234,0.94552,0.15121,0.14561,0.04686,2.05053,2.3359,1.29378,0.00087625,0.00087625,0.00087625
27,308.965,1.26032,2.09677,0.7733,0.97041,0.16981,0.17683,0.05948,1.98949,2.22217,1.26767,0.0008713,0.0008713,0.0008713
28,318.846,1.47444,2.11493,0.91754,0.91339,0.12453,0.11459,0.03598,2.24099,3.55177,1.36945,0.00086635,0.00086635,0.00086635
29,330.518,1.39908,2.1446,0.89796,0.90077,0.13585,0.10051,0.03218,2.33294,3.49798,1.42384,0.0008614,0.0008614,0.0008614
30,341.684,1.58396,2.16269,0.97232,0.89408,0.1434,0.10015,0.03136,2.35182,2.75957,1.43583,0.00085645,0.00085645,0.00085645
31,352.547,1.29788,2.11277,0.86371,0.89496,0.13962,0.10341,0.03294,2.31965,2.57868,1.4254,0.0008515,0.0008515,0.0008515
32,362.124,1.41031,2.08418,0.82808,0.94152,0.15472,0.15431,0.04957,2.16362,2.42962,1.35965,0.00084655,0.00084655,0.00084655
33,371.648,1.40582,2.07644,0.94036,0.95916,0.15849,0.16483,0.05087,2.16421,2.60039,1.35688,0.0008416,0.0008416,0.0008416
34,381.404,1.53833,1.97498,0.9714,0.94973,0.1434,0.15764,0.05107,2.10446,2.51517,1.33575,0.00083665,0.00083665,0.00083665
35,392.47,1.49597,2.09876,0.92414,0.94753,0.15918,0.15875,0.05105,2.12343,2.65363,1.34312,0.0008317,0.0008317,0.0008317
